n;t;no
1;0;8
2;0.5;21
3;1;-1
4;1.5;3
5;2;15
6;2.5;16
7;3;26
8;3.5;-22
9;4;-30
10;4.5;-48
11;5;-11
12;5.5;59
13;6;51
14;6.5;17
15;7;-36
16;7.5;15
17;8;10
18;8.5;12
19;9;-12
20;9.5;19
21;10;-3
22;10.5;10
23;11;7
24;11.5;-12
25;12;-41
26;12.5;19
27;13;47
28;13.5;6
29;14;-13
30;14.5;33
31;15;24
32;15.5;-30
33;16;-50
34;16.5;9
35;17;44
36;17.5;28
37;18;23
38;18.5;-69
39;19;20
40;19.5;5
41;20;36
42;20.5;14
43;21;1
44;21.5;-25
45;22;-25
46;22.5;24
47;23;10
48;23.5;1
49;24;17
50;24.5;-26
51;25;-31
52;25.5;-18
53;26;39
54;26.5;51
55;27;-17
56;27.5;46
57;28;7
58;28.5;19
59;29;11
60;29.5;25
61;30;-31
62;30.5;49
63;31;34
64;31.5;-1
65;32;37
66;32.5;-22
67;33;19
68;33.5;34
69;34;12
70;34.5;-46
71;35;3
72;35.5;32
73;36;-7
74;36.5;15
75;37;-7
76;37.5;31
77;38;3
78;38.5;-47
79;39;-6
80;39.5;-11
81;40;54
82;40.5;31
83;41;-19
84;41.5;-45
85;42;-35
86;42.5;82
87;43;68
88;43.5;-27
89;44;-59
90;44.5;62
91;45;4
92;45.5;48
93;46;41
94;46.5;1
95;47;-49
96;47.5;-8
97;48;54
98;48.5;29
99;49;-54
100;49.5;51
